Document name,Exists,Owner,Quantitative Datapoints,Document description,Framework relevance (framework-level),"ESRS DP ID(s) (from Crossmap) ",Framework relevance (granular),What to capture (kernels),Notes on disaggregation/comparative requirements,Link,Status,Last updated
Anti-Child Labour Policy,Yes,Compliance,Needed,Policy and controls to prevent child labour in operations and supply chain; supports value chain due diligence disclosures.,"BRSR, ESRS, GRI","ESRS-G1-2 (https://www.notion.so/ESRS-G1-2-667bc61089a94822b62b6556b09e1352?pvs=21), ESRS-2-GOV-4 (https://www.notion.so/ESRS-2-GOV-4-81b78051f596494aab0cff6581b40254?pvs=21)",ESRS S2 value-chain workers (if material) + ESRS 2 due diligence process narrative; GRI human rights/supply chain disclosures; BRSR value chain and child labour disclosures,"Scope ops+suppliers, age verification, supplier clauses/screening, audits/monitoring, remediation, audit findings metrics","Supports supplier management and due diligence narratives. If tracking screening and audit metrics, keep segmentation (tier/geography/risk), severity taxonomy, remediation closure status, and comparatives consistent.",,Not started,"March 30, 2026"
Hateful Activity Policy,Yes,HR,Needed,Workplace conduct policy defining hateful activity and controls; ties to incident tracking and remediation.,"BRSR, ESRS",ESRS-S1-17 (https://www.notion.so/ESRS-S1-17-82e0e1d3fcb845fea43175398e4185ca?pvs=21),ESRS S1 workplace conduct and incidents where material; BRSR workforce conduct narratives and incident reporting,"Definitions/scope, reporting/investigation, disciplinary actions, training, incident metrics","If workplace conduct incidents are disclosed, align metrics to ESRS-S1-17 with stable definitions, outcomes taxonomy, and comparatives. Maintain confidentiality thresholds and avoid disclosing identifiable information.",,Not started,"March 30, 2026"
Equal Opportunity and Affirmative Action (EO/AA) Policy Statement,Yes,HR,Needed,Equal opportunity commitments and affirmative action posture; supports workforce equal treatment disclosures.,"BRSR, ESRS, GRI","ESRS-S1-9 (https://www.notion.so/ESRS-S1-9-adc2945bfa584fefa79434803b64d4cb?pvs=21), ESRS-S1-17 (https://www.notion.so/ESRS-S1-17-82e0e1d3fcb845fea43175398e4185ca?pvs=21)",ESRS S1 equal opportunity disclosures (if S1 material); GRI diversity/equal opportunity disclosures; BRSR workforce representation and equal opportunity narratives,"Commitments/scope, recruitment & promotion controls, accommodations, complaint linkage, EO/AA metrics","Use ESRS-S1-9 for representation metrics (required breakdowns). If discrimination complaints are tracked, align to ESRS-S1-17. Maintain consistent group taxonomy and comparatives.",,Not started,"March 30, 2026"
Bribery and Corruption Policy,Yes,Compliance,Needed,Anti-bribery and anti-corruption policy; supports G1 controls and incident disclosures.,"BRSR, ESRS, GRI","ESRS-G1-3 (https://www.notion.so/ESRS-G1-3-9d094fdd5fe044139f9856d876d62273?pvs=21), ESRS-G1-4 (https://www.notion.so/ESRS-G1-4-4d77e9e748a743cd93ca3a1ec33e4267?pvs=21)",ESRS G1 corruption and bribery prevention + incidents; GRI 205 anti-corruption indicators; BRSR anti-corruption governance and incidents,"Prohibited conduct, gifts/approvals, third-party DD, training, incidents/outcomes, controls monitoring",ESRS-G1-3 is the narrative control requirement; ESRS-G1-4 is the quantitative incident disclosure. Keep a stable case taxonomy and outcome categories so year-on-year comparatives are meaningful.,,Not started,"March 30, 2026"
Anti-Money Laundering (AML) Policy,Yes,Compliance,Needed,AML and KYC controls policy (as applicable); supports business conduct control disclosures.,"BRSR, ESRS, GRI",ESRS-G1-1 (https://www.notion.so/ESRS-G1-1-198b368fb8e2483185e5b3270044c424?pvs=21),ESRS G1 business conduct controls where applicable; GRI ethics context; BRSR governance controls and compliance,"Scope/obligations, KYC/screening process, third-party screening, training, monitoring metrics","Supports ESRS-G1-1 (business conduct policy/culture) and related controls narratives. If tracking quantitative AML/KYC activity, keep scope and definitions stable and retain comparatives.",,Not started,"March 30, 2026"
Human Rights Policy,Yes,Compliance,Needed,"Human rights commitment and due diligence approach; ties to value chain expectations, grievance accessibility, and remediation disclosures.","BRSR, ESRS, GRI","ESRS-2-GOV-4 (https://www.notion.so/ESRS-2-GOV-4-81b78051f596494aab0cff6581b40254?pvs=21), ESRS-S1-17 (https://www.notion.so/ESRS-S1-17-82e0e1d3fcb845fea43175398e4185ca?pvs=21)",ESRS 2 due diligence process + material topical S1–S4 disclosures; GRI human rights and supplier disclosures; BRSR social principles + value chain,"Scope ops+VC, standards referenced, salient risks, due diligence steps, grievance access, training, DD metrics, supplier requirements","Due diligence is anchored in ESRS 2 GOV-4; incidents/complaints where workforce impacts arise can align to ESRS-S1-17. Keep consistent findings taxonomy, remediation closure status, and comparatives.",,Not started,"March 30, 2026"
Grievance Redressal Policy,Yes,Compliance,Needed,Umbrella grievance handling policy across stakeholder groups; supports grievance mechanism disclosures in S1–S4 and due diligence narratives.,"BRSR, ESRS, GRI","ESRS-S1-17 (https://www.notion.so/ESRS-S1-17-82e0e1d3fcb845fea43175398e4185ca?pvs=21), ESRS-2-GOV-4 (https://www.notion.so/ESRS-2-GOV-4-81b78051f596494aab0cff6581b40254?pvs=21)",ESRS due diligence and grievance mechanisms across S1–S4 (materiality-gated) + ESRS 2 process narrative; GRI grievance mechanisms; BRSR grievance mechanism and resolution KPIs,"Stakeholder coverage, channels/accessibility, SLAs/escalation, remedy/appeals, grievance metrics","Where used for workforce grievances, align to ESRS-S1-17 with consistent categories, resolution status, and time-to-close definition. For other stakeholder groups, treat as materiality-gated and keep stakeholder-type disaggregation consistent. Maintain comparatives for counts and resolution performance.",,Not started,"March 30, 2026"
Whistleblower Policy,Yes,Compliance,Needed,Speak-up / whistleblowing mechanism and investigation workflow; supports grievance mechanism disclosures and ethics incident metrics.,"BRSR, ESRS, GRI","ESRS-2-GOV-4 (https://www.notion.so/ESRS-2-GOV-4-81b78051f596494aab0cff6581b40254?pvs=21), ESRS-G1-1 (https://www.notion.so/ESRS-G1-1-198b368fb8e2483185e5b3270044c424?pvs=21)",ESRS G1 grievance/speak-up mechanism + case metrics; ESRS S1 grievance mechanisms where workforce-related; GRI grievance and ethics disclosures; BRSR whistleblowing mechanism and cases,"Channels/anonymity, non-retaliation, workflow/owner, hotline provider, taxonomy, case metrics","Supports due diligence and business conduct narratives. If reporting case metrics, maintain a stable case taxonomy, stakeholder group mapping, confidentiality thresholds, and year-on-year comparatives.",,Not started,"March 30, 2026"
Corporate Social Responsibility (CSR) Policy,Yes,Compliance,Needed,"Defines CSR governance, thematic focus, implementation model, partner management, and monitoring approach.","BRSR, ESRS, GRI",ESRS-S3-CSR-1 (https://www.notion.so/ESRS-S3-CSR-1-dd1af04067d34121b27e046031309eb8?pvs=21),ESRS 2 SBM contextual info; ESRS S3 community impacts (if material); GRI community investment disclosures; BRSR CSR / social contribution disclosures,"CSR governance/approvals, focus areas, partner DD, spend controls, M&E approach, project/spend datasets, impact metrics","Materiality-gated (S3). If used for ESRS, maintain consistent definitions for spend allocation, beneficiary counting, and outcome KPIs. Provide comparatives where available.",,Not started,"March 30, 2026"
Sustainability reporting internal controls pack,No,Finance,Optional,Control environment for sustainability data and reporting. Critical for assurance readiness and ESRS 2 GOV-5 style disclosures.,"BRSR, ESRS, IFRS S1, IFRS S2",ESRS-2-GOV-4 (https://www.notion.so/ESRS-2-GOV-4-81b78051f596494aab0cff6581b40254?pvs=21),ESRS 2 GOV-5 internal control/risk management for sustainability reporting; IFRS S1/S2 governance/control support; BRSR assurance readiness support,"Control descriptions per KPI, data lineage/source systems, review & sign-off workflow, change log, internal testing evidence, evidence register","Controls pack supports ESRS 2 governance disclosures (incl. GOV-4 due diligence and reporting governance). If tracking control metrics (# controls tested, exceptions), keep KPI/control taxonomy stable and maintain comparatives.",,Not started,"March 30, 2026"
Supplier due diligence pack (if value chain material),No,Procurement,Needed,"Supplier segmentation, screening, audits, corrective actions, ESG clauses, and grievance access. Supports S2 and due diligence disclosures.","BRSR, CDP, ESRS, GRI",ESRS-G1-2 (https://www.notion.so/ESRS-G1-2-667bc61089a94822b62b6556b09e1352?pvs=21),ESRS S2 value chain disclosures (if material) + ESRS 2 due diligence process; GRI supply chain disclosures; CDP supply chain modules (if used); BRSR value chain disclosures,"Supplier list segmentation, screening criteria/workflow, audits/findings, CAPs/closure, ESG clauses, supplier grievance access + metrics","ESRS-G1-2 is narrative supplier management disclosure. If tracking quantitative supplier DD metrics (coverage %, audits, CAP closure), maintain segmentation dimensions (tier, geography, risk category) and comparatives year-on-year.",,Not started,"March 30, 2026"
Stakeholder engagement evidence pack,No,Compliance,Optional,"Stakeholder mapping, engagement plan, engagement records, and evidence of how views influence strategy and materiality.","BRSR, CDP, ESRS, GRI, IFRS S1, TCFD",ESRS-1-PAR-38 (https://www.notion.so/ESRS-1-PAR-38-f3a5d02244d44429878fd13e7f4ab3e2?pvs=21),ESRS 1 stakeholder inputs to materiality; ESRS 2 SBM stakeholder engagement; GRI stakeholder engagement disclosures; CDP governance/strategy narrative inputs; BRSR stakeholder engagement; TCFD context,"Stakeholder map, engagement plan, channels/frequency, logs/themes, how used in materiality and strategy, feedback loop evidence","Supports materiality evidence trail. If tracking quantitative engagement counts, keep stakeholder-group taxonomy stable and provide year-on-year comparatives (count of engagements, coverage %, key themes frequency).",,Not started,"March 30, 2026"
ESG Policy,Yes,Compliance,Needed,"Umbrella ESG policy describing governance, topic coverage, KPI architecture, and monitoring cadence; often the top-level mapping anchor across frameworks.","BRSR, CDP, ESRS, GRI, IFRS S1, IFRS S2, TCFD","ESRS-2-GOV-4 (https://www.notion.so/ESRS-2-GOV-4-81b78051f596494aab0cff6581b40254?pvs=21), ESRS-G1-1 (https://www.notion.so/ESRS-G1-1-198b368fb8e2483185e5b3270044c424?pvs=21), ESRS-G1-2 (https://www.notion.so/ESRS-G1-2-667bc61089a94822b62b6556b09e1352?pvs=21)",ESRS 2 GOV/SBM basis narrative; ESRS MDR policy umbrella; GRI 2 context; IFRS S1 governance/risk; IFRS S2 climate governance (if applicable); CDP governance narratives; BRSR overall approach; TCFD governance pillar,"ESG governance model, topic coverage map, KPI selection + definitions, monitoring cadence/escalation, targets register, cross-framework alignment claims, evidence register mapping","Use these Crossmap DPs for governance/due diligence and supplier management narrative anchors. Any quantitative “inventory” metrics (KPI counts, coverage %) should have stable definitions and year-on-year comparatives.",,Not started,"March 30, 2026"
"ESRS 2 governance documents (ToR, org structure, RACI)",No,Compliance,Optional,Board/committee terms of reference and management accountability artifacts for sustainability. Provides evidence for ESRS 2 GOV and oversight disclosures.,"BRSR, ESRS, IFRS S1, IFRS S2, TCFD",ESRS-2-GOV-4 (https://www.notion.so/ESRS-2-GOV-4-81b78051f596494aab0cff6581b40254?pvs=21),ESRS 2 GOV oversight/roles; IFRS S1/S2 governance; BRSR governance disclosures; TCFD governance pillar,"Board/committee ToR, oversight roles, org chart/reporting lines, RACI for topic/KPI owners, meeting cadence & materials","Governance artefacts underpin ESRS 2 GOV disclosures (incl. GOV-4 due diligence). Any quantitative governance metrics (meeting count, attendance %) are optional; if used, keep definitions and comparatives consistent.",,Not started,"March 30, 2026"
Materiality assessment pack,No,Compliance,Optional,"Double materiality methodology, results, and IRO register. Gatekeeper for ESRS topical applicability and a core disclosure subject in ESRS 2/ESRS 1.","BRSR, CDP, ESRS, GRI, IFRS S1, IFRS S2, TCFD","ESRS-1-PAR-22 (https://www.notion.so/ESRS-1-PAR-22-e18d011463114829b37ac95558ad257e?pvs=21), ESRS-1-PAR-24 (https://www.notion.so/ESRS-1-PAR-24-918d9b922b854ee0bec7ecef7c37c774?pvs=21), ESRS-1-PAR-25 (https://www.notion.so/ESRS-1-PAR-25-a57665df37844af2a6668d58b6d7670d?pvs=21), ESRS-1-PAR-32 (https://www.notion.so/ESRS-1-PAR-32-ffd46cd0651d4d829391906054a1c552?pvs=21), ESRS-1-PAR-35 (https://www.notion.so/ESRS-1-PAR-35-afb5755b13bb48ef897e6d230a5b1573?pvs=21), ESRS-1-PAR-38 (https://www.notion.so/ESRS-1-PAR-38-f3a5d02244d44429878fd13e7f4ab3e2?pvs=21), ESRS-1-PAR-43 (https://www.notion.so/ESRS-1-PAR-43-694aef02bfe5439594ebb666ec6d2646?pvs=21), ESRS-1-PAR-44 (https://www.notion.so/ESRS-1-PAR-44-dd032aa4525e4b71b4edb46246862761?pvs=21), ESRS-1-PAR-46 (https://www.notion.so/ESRS-1-PAR-46-81c451dbc7fd424995c1ec180724e892?pvs=21)",ESRS 1 materiality process + ESRS 2 IRO disclosures; IFRS S1/S2 material risks/opportunities; GRI material topics process; CDP risks/opportunities; BRSR material issues narrative; TCFD risks/opportunities governance,"Methodology, scoring thresholds, stakeholder inputs, IRO register with horizons, prioritization logic, final material topics + rationale","Materiality is qualitative in Crossmap. If you keep quantitative scoring outputs, treat them as internal evidence: maintain scoring scale definitions, weighting, stakeholder group splits, and year-on-year comparatives of scores and topic rankings.",,Not started,"March 30, 2026"
"Topic KPI datasets (E, S, G) from source systems",No,Finance,Needed,"Primary quantitative datasets and registers (GHG, energy, water, waste, workforce, H&S, pay gap, incidents). Stored in source systems; referenced and controlled for reporting.","BRSR, CDP, ESRS, GRI, IFRS S2, TCFD","ESRS-E1-6 (https://www.notion.so/ESRS-E1-6-afecac1af11f4606865eeba198fe2b2f?pvs=21), ESRS-E1-7 (https://www.notion.so/ESRS-E1-7-54fcc9acba1345dca555959f65a21f28?pvs=21), ESRS-E1-5 (https://www.notion.so/ESRS-E1-5-0167155efc7f416693a381d16d03dd5b?pvs=21), ESRS-E2-4 (https://www.notion.so/ESRS-E2-4-20ed811484684dfdb7f760f816c3f95a?pvs=21), ESRS-E3-4 (https://www.notion.so/ESRS-E3-4-08e84370035d4311b6dfbad3951fc7dc?pvs=21), ESRS-E5-4 (https://www.notion.so/ESRS-E5-4-2fa545de72594e9f92fc265b8ee29893?pvs=21), ESRS-E5-5 (https://www.notion.so/ESRS-E5-5-858f720f208648d6af6de96adc92679a?pvs=21), ESRS-S1-9 (https://www.notion.so/ESRS-S1-9-adc2945bfa584fefa79434803b64d4cb?pvs=21), ESRS-S1-14 (https://www.notion.so/ESRS-S1-14-f86dc87a17c1497bad2fb83969c69d9c?pvs=21), ESRS-G1-4 (https://www.notion.so/ESRS-G1-4-4d77e9e748a743cd93ca3a1ec33e4267?pvs=21)","ESRS topical quantitative datapoints (E1–E5, S1–S4, G1); GRI indicators; CDP climate/water/forests modules; IFRS S2 climate metrics; BRSR KPIs; TCFD metrics & targets","Raw KPI tables + definitions, unit/boundary/method, disaggregation, comparatives, restatements, owners/source-of-truth per KPI","Treat this as the system-of-record pack for the ESRS quantitative DPs linked. Ensure: (1) comparatives where flagged in Crossmap, (2) required disaggregation dimensions from Crossmap are present as columns, (3) calculation standards are documented (e.g., GHG Protocol, GRI/ILO definitions), (4) boundary and restatement log maintained.",,Not started,"March 30, 2026"
Assurance readiness pack (if assurance planned),No,Finance,Optional,"Evidence register, method statements, internal testing, and external validations needed to support third-party assurance over sustainability KPIs and disclosures.","BRSR, ESRS, GRI",ESRS-2-GOV-4 (https://www.notion.so/ESRS-2-GOV-4-81b78051f596494aab0cff6581b40254?pvs=21),ESRS statutory assurance preparation (limited assurance baseline); GRI voluntary assurance scope; BRSR KPI assurance readiness,"Evidence register per KPI, method statements, version control/change log, internal review/testing, external validations/certificates, assurance scope/provider","Assurance planning aligns to ESRS 2 governance and due diligence disclosures (GOV-4). Quantitative readiness metrics are optional; if tracked, keep consistent KPI list, evidence status categories, and period-over-period comparatives for completeness %.",,Not started,"March 30, 2026"
