Method,Scope 3 category,Method variant,Equation (canonical),Activity data required (fields),EF/parameters required (factor keys),Calculation steps,Spec status
Cat 2 — Capital goods — Supplier-specific,Cat 2 — Capital goods,Supplier-specific,Emissions = Σ (quantities of capital good purchased × supplier-specific product emission factor of capital good),• Quantities or units of capital goods purchased in the reporting year,"• Supplier-specific emission factors for the capital goods (e.g., from reliable cradle-to-gate GHG inventory, product footprint, internal LCA report)","1) For each capital good type, capture quantity purchased (kg or units).
2) Obtain supplier-specific product EF for the capital good (kg CO2e/kg or per unit), cradle-to-gate.
3) Multiply quantity × EF.
4) Sum across capital goods.",Draft
Cat 3A — Upstream emissions of purchased fuels,Cat 3 — Fuel- & energy-related (not in S1/S2),Average-data,"Σ (fuel consumed × upstream fuel emission factor)
where upstream fuel emission factor = life cycle emission factor − combustion emission factor",• Quantities and types of fuel consumed,"Supplier-specific method:
• Fuel-provider-specific emission factors on extraction, production and transportation of fuels per unit of fuel consumed (e.g., kg CO2e/kWh), by fuel type and country/region
Average-data method:
• Average emission factors for upstream emissions per unit of consumption (e.g., kg CO2e/kWh)","1) For each fuel type consumed, capture quantity consumed.
2) Select upstream fuel emission factor (supplier-specific if available; otherwise average-data).
3) If only lifecycle + combustion are available, compute upstream EF = lifecycle − combustion.
4) Multiply fuel consumed × upstream EF.
5) Sum across fuel types.",Draft
Cat 3B — Upstream emissions of purchased electricity/steam/heating/cooling,Cat 3 — Fuel- & energy-related (not in S1/S2),Average-data,"Emissions = Σ(electricity_consumed × EF_upstream_electricity)
+ Σ(steam_consumed × EF_upstream_steam)
+ Σ(heating_consumed × EF_upstream_heating)
+ Σ(cooling_consumed × EF_upstream_cooling)
where upstream EF = life cycle EF − combustion EF − T&D losses (subtract T&D only if included in life cycle EF)","• Total quantities of electricity, steam, heating or cooling purchased and consumed per unit of consumption (e.g., kWh/MWh), broken down by supplier, grid region or country","Supplier-specific method:
• Utility-specific EFs for extraction, production and transportation of fuels consumed per unit generated (kg CO2e/kWh)
Average-data method:
• Grid-region/country/regional upstream EFs per unit consumption (kg CO2e/kWh)
Plus (if deriving upstream EF):
• life cycle EF
• combustion emissions factor
• T&D losses inclusion flag","1) Collect electricity/steam/heating/cooling consumption, broken down by supplier/region/country.
2) Select upstream emission factors per energy type (supplier-specific if available; else grid-region/country/regional).
3) If provided as lifecycle EFs, verify whether T&D losses are included.
4) If upstream EF must be derived, compute upstream EF = lifecycle − combustion − (T&D losses if included).
5) Multiply consumption × upstream EF for each energy type and sum.",Draft
Cat 3C — Transmission & distribution (T&D) losses,Cat 3 — Fuel- & energy-related (not in S1/S2),Average-data,"Emissions = Σ(electricity_consumed × EF_lifecycle_electricity × T&D_loss_rate)
+ Σ(steam_consumed × EF_lifecycle_steam × T&D_loss_rate)
+ Σ(heating_consumed × EF_lifecycle_heating × T&D_loss_rate)
+ Σ(cooling_consumed × EF_lifecycle_cooling × T&D_loss_rate)","• Electricity, steam, heating or cooling consumed (kWh/MWh), broken down by grid region or country; and/or • Scope 2 emissions data","• Life cycle emission factor for each energy type (kg CO2e/kWh)
• T&D loss rate (%)
Supplier-specific: utility-specific T&D loss rate for the grid
Average-data: country/regional/global T&D loss rate","1) Collect consumption by energy type and grid region/country.
2) Select lifecycle EF for each energy type.
3) Select appropriate T&D loss rate (utility-specific preferred; else country → regional → global).
4) Multiply consumption × lifecycle EF × loss rate and sum across energy types.",Draft
Cat 4 — Upstream distribution/storage — Average-data,Cat 4 — Upstream transport & distribution,Average-data,Emissions = Σ(volume_stored × avg_days_stored × EF_storage (kg CO2e per m³-day or pallet-day or TEU-day)),"• Volume of purchased goods stored (m²/m³/pallet/TEU) OR number of pallets
• Average number of days stored
• Throughput-based data (as needed to estimate volume-days)","• Storage emission factor per unit stored per day, expressed as:
  - kg CO2e per pallet-day, OR
  - kg CO2e per m²-day / m³-day, OR
  - kg CO2e per TEU-day","1) Estimate storage volume and average storage duration (days).
2) Select appropriate storage EF matching the unit basis.
3) Multiply volume × days × EF.
4) Sum across storage facilities.",Draft
Cat 4 — Upstream distribution/storage — Site-specific,Cat 4 — Upstream transport & distribution,Site-specific,"Facility emissions = (fuel_kWh × EF_fuel) + (electricity_kWh × EF_electricity) + (refrigerant_leakage_kg × GWP)
Allocated facility emissions = (volume_company_goods_m3 / total_volume_goods_m3) × facility_emissions
Total emissions = Σ allocated facility emissions","• Site-specific fuel use (kWh)
• Site-specific electricity use (kWh)
• Site-specific refrigerant leakage (kg)
• Average occupancy rate / average total volume stored
• Volume of reporting company’s purchased goods in facility (m³)
• Total volume of goods in facility (m³)","• Site/region-specific EFs for fuels (kg CO2e/kWh) and electricity (kg CO2e/kWh)
• Refrigerant GWP / emission factors (kg CO2e/kg leaked)","1) Compute storage facility emissions from fuel, electricity, and refrigerant leakage.
2) Allocate emissions by volume share of reporting company goods.
3) Sum allocated emissions across all storage facilities.",Draft
Cat 4 — Upstream transportation — Distance-based,Cat 4 — Upstream transport & distribution,Distance-based,Emissions = Σ(mass_or_volume_goods × distance_leg_km × EF_mode_or_vehicle (kg CO2e per tonne-km or TEU-km)),"• Mass or volume of products transported (tonnes or TEU)
• Distances travelled per leg (supplier provided, maps/calculators, port-to-port distances)
• Mode of transport / vehicle type per leg","• Emission factor by transport mode or vehicle type, in units of CO2/CH4/N2O per tonne-km or TEU-km (convert to CO2e as needed)","1) Collect transport legs with mass/volume, distance, and mode/vehicle.
2) Select EF per mode/vehicle.
3) Multiply mass/volume × distance × EF per leg.
4) Sum across modes/vehicle types.",Draft
Cat 4 — Upstream transportation — Fuel-based,Cat 4 — Upstream transport & distribution,Fuel-based,"Emissions = Σ(fuel_litres × EF_fuel)
+ Σ(electricity_kWh × EF_electricity_grid)
+ Σ(refrigerant_leakage_kg × GWP_refrigerant)

If fuel data unavailable:
Fuel_from_spend = fuel_spend / avg_fuel_price
Fuel_from_distance = Σ(distance_km × fuel_efficiency_l_per_km)

Allocated fuel use = total_fuel_consumed × (mass_or_volume_company_goods / mass_or_volume_total_goods)
(Optional) Unladen backhaul emissions = Σ(fuel_backhaul × EF_fuel)","• Quantities of fuel consumed (litres) by fuel type; OR fuel spend + avg fuel price; OR distance travelled + fuel efficiency
• Quantity of electricity consumed (kWh) (if applicable)
• Quantity of refrigerant leakage (kg) (if applicable)
• Mass of purchased goods in the vehicle (tonnes) and total mass/volume transported (for allocation)
• Info on refrigerated transport (yes/no)
• (Optional) distance travelled unladen + unladen fuel efficiency","• Fuel emission factors (kg CO2e/litre) (include scope 1 & 2 of fuel; may optionally include cradle-to-gate)
• Electricity grid emission factors (kg CO2e/kWh) for electric vehicles
• Refrigerant leakage factors: GWP per refrigerant (kg CO2e/kg leaked)
• Average fuel price ($/litre) (if deriving fuel from spend)
• Fuel efficiency (litre/km) (if deriving fuel from distance)","1) Collect direct fuel litres by type; if missing derive from spend or distance.
2) Compute total transport emissions: fuel + electricity + refrigerant leakage.
3) Allocate emissions to reporting company: multiply by mass/volume share (or dimensional/chargeable mass if justified).
4) Optionally add unladen backhaul emissions if included.
5) Sum across fuel types and transport steps.",Draft
Cat 4 — Upstream transportation — Spend-based,Cat 4 — Upstream transport & distribution,Spend-based (EEIO),Emissions = Σ(spend_on_transportation_by_type × EEIO_EF_transport (kg CO2e/$)),"• Amount spent on transportation by type (road/rail/air/barge/etc.) using market values ($)
• (If needed) inflation data to convert between EEIO EF year and activity year","• Cradle-to-gate emission factors of transportation type per $ (kg CO2e/$)
• Inflation indices (if required)","1) Collect spend by transportation type.
2) Map spend types to EEIO categories.
3) Normalize spend to EEIO base year if required.
4) Multiply spend × EF and sum.",Draft
Cat 5 — Waste generated in operations — Average-data (treatment mix),Cat 5 — Waste generated in operations,Average-data,Σ (total mass of waste (tonnes) × proportion of total waste treated by waste treatment method × emission factor of waste treatment method (kg CO2e/tonne)),"• Total mass of waste generated in operations
• Proportion of this waste being treated by different methods (e.g., % landfilled, incinerated, recycled, etc.)",• Average waste treatment-specific emission factors based upon all waste disposal types (kg CO2e/tonne),"1) Record total mass of waste generated (tonnes).
2) Record treatment shares for each method (% landfill/incineration/recycling/etc.).
3) Select EF per treatment method (kg CO2e/tonne).
4) Multiply total mass × share × EF for each method.
5) Sum across treatment methods.",Draft
Cat 5 — Waste generated in operations — Supplier-specific (waste treatment company),Cat 5 — Waste generated in operations,Supplier-specific,Σ allocated scope 1 and 2 emissions of waste treatment company,• Allocated scope 1 and 2 emissions of waste-treatment company (allocated to the waste collected from the reporting company),• None (reporting company collects emissions data from waste treatment companies; the waste company already used emission factors to calculate emissions),"1) Identify waste treatment providers handling waste from the reporting company.
2) Obtain the provider’s allocated Scope 1 and Scope 2 emissions attributable to the reporting company’s waste.
3) Sum allocated emissions across waste treatment providers.",Draft
Cat 5 — Waste generated in operations — Waste-type-specific,Cat 5 — Waste generated in operations,Average-data,Σ (waste produced (tonnes or m3) × waste type and waste treatment specific emission factor (kg CO2e/tonne or m3)),"• Waste produced (e.g., tonne, m3) and type of different waste generated in operations
• For each waste type, specific waste treatment method applied (e.g., landfilled, incinerated, recycled, etc.)","• Waste type-specific and waste treatment-specific emission factors (kg CO2e/tonne or kg CO2e/m3)
• Emission factors should include end-of-life processes only
• Emission factors may include emissions from transportation of waste (record flag)","1) For each waste type generated, record waste quantity (tonnes or m3).
2) Record the treatment method for each waste type.
3) Select EF specific to (waste type × treatment method) with end-of-life-only boundary.
4) Multiply waste quantity × EF.
5) Sum across waste types.",Draft
Cat 6 — Business travel — Distance-based,Cat 6 — Business travel,Distance-based,"Σ (distance_travelled_by_vehicle_type (vehicle-km or passenger-km) × EF_vehicle_type (kg CO2e/vehicle-km or kg CO2e/passenger-km))
+
(optional) Σ (hotel_nights × EF_hotel (kg CO2e/night))","• Total distance travelled by each mode of transport (air, train, bus, car, etc.) for all employees in reporting year
• Countries of travel (since EFs vary by country)
• Specific vehicle types used for travel (since EFs vary by vehicle type)
(optional) • Annual number of hotel nights","• Emission factors (kg CO2e per km or passenger-km) for each mode (aircraft, rail, metro, bus, taxi, etc.)
• For electric vehicles (if applicable), electricity emission factors per km or passenger-km
(optional) • Hotel emission factor (kg CO2e/night)","1) Aggregate distance travelled by mode/vehicle type (vehicle-km or passenger-km).
2) Select EF for each mode/vehicle type, matching country where possible.
3) Multiply distance × EF for each mode.
4) Optionally add hotels: hotel nights × EF_hotel.
5) Sum across vehicle types for Cat 6 total.",Draft
Cat 6 — Business travel — Fuel-based,Cat 6 — Business travel,Fuel-based,"Σ (fuel_consumed_liters × EF_fuel (kg CO2e/liter))
+
Σ (electricity_consumed_kWh × EF_electricity_grid (kg CO2e/kWh))
+
Σ (refrigerant_leakage_kg × GWP_refrigerant (kg CO2e/kg))
+
(optional) Σ (hotel_nights × EF_hotel (kg CO2e/night))

If fuel data unavailable:
Fuel_from_spend = fuel_spend / avg_fuel_price
Fuel_from_distance = Σ(distance_km × fuel_efficiency_l_per_km)","• Quantities of fuel consumed by fuel type (liters)
• Amount spent on fuel and average cost of fuel (if deriving liters)
• Fugitive emissions (e.g., refrigerant leakage) (kg)
If applicable:
• Distance travelled (km)
• Average fuel efficiency of vehicle (liters/km)
(optional)
• Annual number of hotel nights (nights)","• Life cycle fuel emission factors (kg CO2e/liter or per energy unit)
• Electricity emission factors for grid (kg CO2e/kWh)
• Fugitive emission factors / GWPs (kg CO2e/kg refrigerant leakage)
(optional)
• Hotel emission factor (kg CO2e/night)
(if deriving liters)
• Average fuel price ($/liter)","1) Collect fuel litres by type; if unavailable, derive litres from spend/price or from distance×fuel efficiency.
2) Multiply fuel litres × EF_fuel and sum across fuel types.
3) Add electricity emissions where applicable: kWh × EF_grid.
4) Add fugitive emissions where applicable: refrigerant leakage × GWP.
5) Optionally add hotels: hotel nights × EF_hotel.
6) Sum all components for Cat 6 total.",Draft
Cat 7 — Employee commuting — Average-data,Cat 7 — Employee commuting,Average-data,Σ (total_employees × %employees_using_mode × one_way_distance × 2 × working_days_per_year × EF_mode (kg CO2e per vehicle-km or passenger-km)),"• Number of employees
• Average one-way commuting distance per day
• Average breakdown of transport modes used by employees (% mode split)
• Average number of working days per year",• Emission factors for each mode of transport (usually per passenger-km; CO2/CH4/N2O or CO2e),"1) Capture total employees, average one-way distance, working days/year, and mode split.
2) For each mode, compute employees×%mode×distance×2×days.
3) Multiply by EF_mode.
4) Sum across modes.",Draft
Cat 7 — Employee commuting — Distance-based (+ optional teleworking),Cat 7 — Employee commuting,Distance-based,"Step 1: total_distance_by_vehicle_type = Σ(daily_one_way_home_to_work_km × 2 × commuting_days_per_year)
Step 2: commuting_emissions = Σ(total_distance_by_vehicle_type × EF_vehicle_type)
+
(optional teleworking) Σ(energy_consumed_kWh × EF_energy (kg CO2e/kWh))","• Total distance travelled by employees over the reporting period
• Mode of transport used for commuting (train, subway, bus, car, bicycle, etc.)
• Daily one-way distance home↔work and commuting days per year (or equivalent aggregated distance)
(optional teleworking)
• Quantities of energy consumed during teleworking (kWh) by energy source","• Emission factors for each commuting mode (usually per passenger-km; CO2/CH4/N2O or CO2e)
(optional teleworking)
• Emission factors for teleworking energy sources (kg CO2e/kWh)","1) Compute total distance by mode/vehicle type using daily one-way distance × 2 × commuting days.
2) Select EF per mode (passenger-km or vehicle-km as applicable).
3) Multiply total distance × EF per mode.
4) Optionally add teleworking energy emissions by energy source.
5) Sum across modes.",Draft
Cat 7 — Employee commuting — Fuel-based,Cat 7 — Employee commuting,Fuel-based,"Σ (fuel_consumed_liters × EF_fuel (kg CO2e/liter))
+
Σ (electricity_consumed_kWh × EF_electricity_grid (kg CO2e/kWh))
+
Σ (refrigerant_leakage_kg × GWP_refrigerant (kg CO2e/kg))

If fuel data unavailable:
Fuel_from_spend = fuel_spend / avg_fuel_price
Fuel_from_distance = Σ(distance_km × fuel_efficiency_l_per_km)","• Quantities of fuel consumed (liters) and fuel type
• Amount spent on fuel and average cost of fuel (if deriving liters)
• (If applicable) distance travelled and average fuel efficiency","• Life cycle fuel emission factors (kg CO2e/liter or energy basis)
• For electric vehicles (if applicable), electricity emission factors (kg CO2e/kWh)","1) Collect fuel litres (or derive from spend/price or distance×efficiency).
2) Multiply litres × EF_fuel.
3) Add electricity component if applicable.
4) Sum across commuting-related fuels/energy.",Draft
Cat 8 — Upstream leased assets — Asset-specific,Cat 8 — Upstream leased assets,Site-specific,"For each leased asset:
Scope1_asset = Σ(fuel_liters × EF_fuel) + Σ(refrigerant_leakage_kg × EF_refrigerant) + process_emissions
Scope2_asset = Σ(electricity/steam/heating/cooling_kWh × EF_energy)
Then total = Σ (Scope1_asset + Scope2_asset)

If leased building not sub-metered:
Energy_use_leased_space = (reporting_company_area_m2 / building_total_area_m2) × building_occupancy_rate × building_total_energy_use_kWh","• Asset-specific fuel use; electricity/steam/heating/cooling use; process emissions; fugitive emissions (refrigerant leakage)
OR asset-specific Scope 1 and Scope 2 emissions data
• (For non-submetered building allocation) reporting company area, building total area, building occupancy rate, building total energy use","• Site/region-specific emission factors for electricity and fuels per unit consumption (kg CO2e/kWh, kg CO2e/liter)
• Emission factors for fugitive and process emissions (kg CO2e/kg refrigerant leakage, etc.)","1) For each leased asset, compute Scope 1 from fuel + refrigerant leakage + process.
2) Compute Scope 2 from purchased electricity/steam/heating/cooling.
3) Sum Scope 1+2 for each asset, then sum across assets.
4) If leased building space not sub-metered, allocate energy use using area share × occupancy × building total energy and then compute emissions.",Draft
Cat 8 — Upstream leased assets — Average-data,Cat 8 — Upstream leased assets,Average-data,"Buildings: Σ (floor_space_by_building_type_m2 × EF_building_type (kg CO2e/m2/year))
Other assets / no floor space: Σ (asset_count_by_type × EF_asset_type (kg CO2e/asset/year))","• Floor space of each leased asset (m2)
• Number of leased assets, by building type; and/or
• Number of leased assets that give rise to Scope 2 emissions (e.g., company cars, trucks, etc.)","• Average emission factors by floor space (kg CO2e/m2/year)
• Average emission factors by building type (kg CO2e/building/year) (if used)
• Emission factors by asset type (kg CO2e/asset/year)","1) For buildings where floor space is available: multiply floor space × EF_building_type and sum across building types.
2) For non-building assets (or buildings with no floor space data): multiply asset count × EF_asset_type and sum across asset types.
3) Sum building and non-building totals for Cat 8.",Draft
Cat 8 — Upstream leased assets — Lessor-specific,Cat 8 — Upstream leased assets,Site-specific,"For each lessor:
Scope1_lessor = Σ(fuel_liters × EF_fuel) + Σ(refrigerant_leakage_kg × EF_refrigerant) + process_emissions
Scope2_lessor = Σ(electricity/steam/heating/cooling_kWh × EF_energy)
Allocated lessor emissions = (leased_asset_metric / total_lessor_asset_metric) × (Scope1_lessor + Scope2_lessor)
Total = Σ allocated lessor emissions","• Lessor’s fuel use, electricity use, process emissions and fugitive emissions (refrigerant leakage), OR lessor’s Scope 1 and Scope 2 emissions data
• Physical or financial data for allocation (e.g., total area/volume/quantity of lessor’s assets and total area/volume/quantity of leased assets)","• Site/region-specific EFs for electricity and fuels (kg CO2e/kWh, kg CO2e/liter)
• EFs for fugitive and process emissions (kg CO2e/kg refrigerant leakage etc.)","1) For each lessor, compute Scope 1 emissions from fuel + refrigerant leakage + process.
2) Compute Scope 2 emissions from electricity/steam/heating/cooling.
3) Compute total lessor emissions = Scope1+Scope2.
4) Allocate lessor emissions to leased assets using physical/financial allocation factor (leased metric / total lessor assets).
5) Sum allocated emissions across lessors.",Draft
Cat 9 — Downstream distribution/storage — Average-data,Cat 9 — Downstream transport & distribution,Average-data,Σ (volume_stored (m3/pallet/TEU) × avg_days_stored × EF_storage (kg CO2e per m3-day or pallet-day or TEU-day)),"• Volume of goods stored (m2/m3/pallet/TEU) or pallets
• Average number of days stored
• Throughput-based data (if needed)",• Storage EF per pallet-day OR per m2/m3-day OR per TEU-day,"1) Estimate volume-days.
2) Multiply volume × days × EF.
3) Sum across facilities.",Draft
Cat 9 — Downstream distribution/storage — Site-specific,Cat 9 — Downstream transport & distribution,Site-specific,"Facility emissions = (fuel_kWh × EF_fuel) + (electricity_kWh × EF_electricity) + (refrigerant_leakage_kg × EF_refrigerant_or_GWP)
Allocated facility emissions = (volume_company_goods_m3 / total_volume_goods_m3) × facility_emissions
Total = Σ allocated facility emissions","• Site-specific fuel, electricity use
• Site-specific refrigerant leakage
• Average occupancy rate / average volume stored
• Volume of reporting company goods in facility; total volume in facility","• Site/region-specific EFs for fuels and electricity (kg CO2e/kWh; kg CO2e/liter where applicable)
• Refrigerant emission factors / GWP (kg CO2e/kg leaked)","1) Compute facility emissions from fuel + electricity + refrigerants.
2) Allocate by volume share.
3) Sum across facilities.",Draft
Cat 9 — Downstream transportation — Distance-based,Cat 9 — Downstream transport & distribution,Distance-based,Σ (mass_or_volume_goods (tonnes or TEU) × distance_leg_km × EF_mode_or_vehicle (kg CO2e per tonne-km or TEU-km)),"• Mass or volume of products sold (tonnes or TEU)
• Distances travelled per leg (supplier data, maps, port-to-port)
• Mode/vehicle type per leg",• Emission factor by mode/vehicle type per tonne-km or TEU-km (CO2/CH4/N2O or CO2e),"1) Collect legs: mass/volume, distance, mode.
2) Multiply mass/volume × distance × EF.
3) Sum across legs.",Draft
