Process,Scope,Scope 3 category,Module,Activity modes supported,Required inputs (minimal),Implementation status,Method variant,Formula / method reference,Notes,Optional inputs (improve match),Outputs,Line items
"S3 Cat 11 — Use of sold products (direct, energy consuming products)",Scope 3,Cat 11 — Use of sold products,other,"Energy-based, Other","• Reporting year
• Product group(s) sold (SKU or grouped)
• Units sold
• Expected lifetime uses per unit (hours/cycles/km)
• Energy per use (kWh electricity and/or fuel per use)
• Geography of use (country or sales-weighted mix)",Not implemented,Other,"GHG Protocol Scope 3 Technical Guidance — Category 11.
Direct use-phase for energy-consuming products (Formula 11.1):
Emissions = Σ(lifetime_uses×units_sold×electricity_per_use×EF_electricity)
        + Σ(lifetime_uses×units_sold×fuel_per_use×EF_fuel)
        + Σ(lifetime_uses×units_sold×refrigerant_leak_per_use×GWP)","Key user choices:
• Grouping strategy (SKU vs product family)
• Geography resolution for electricity EF

Edge cases:
• Leased products may be reported as Cat 11 instead of Cat 13 (avoid double counting)
• Fuels/feedstocks sold for combustion use separate Cat 11 fuels/feedstocks process.","• Multiple use scenarios + shares (sensitivity)
• Product lifetime distribution (min/typ/max)
• Regional/country grid EFs
• Refrigerant leakage per use (if applicable)
• Maintenance emissions (optional)","• Lifetime emissions for products sold in reporting year (kg/t CO2e)
• Breakdown by product group and scenario
• Factors used (grid EF, fuel EF, GWP set)
• Audit trace + assumptions log",
"S3 Cat 11 — Use of sold products (direct, fuels & feedstocks combustion)",Scope 3,Cat 11 — Use of sold products,stationary_combustion,"Energy-based, Mass-based, Volume-based","• Reporting year
• Geography of combustion (country or sales-weighted mix)
• Fuel/feedstock type
• Quantity sold + unit (energy/mass/volume)
• If mass/volume: NCV/density (if conversion needed)",In progress,Fuel-based,"GHG Protocol Scope 3 Technical Guidance — Category 11.
Fuels & feedstocks combustion-only (Formula 11.2):
Emissions = ∑(quantity_sold × combustion_EF)
Boundary: combustion only (exclude upstream production to avoid double counting with Cat 3 / upstream categories).","User choices:
• Use stationary vs mobile combustion factors depending on end-use if known; otherwise use conservative/default.

Edge cases:
• If fuel sold is used as feedstock (not combusted), emissions may be zero for this process.

Factor selection:
Use country factors if available else ladder to regional/global; prefer 2019 over 2006 where both exist.","• End-use sector / combustion technology (if factors vary)
• Biofuel fraction / biogenic CO2 treatment
• Oxidation factor if non-default
• Evidence tier for factors","• kg CO2, kg CH4, kg N2O, total tCO2e
• Factor IDs used + fallback flags
• Audit trace of unit conversions + selection ladder",
S3 Cat 12 — End-of-life of sold products (waste-treatment mix),Scope 3,Cat 12 — End-of-life of sold products,other,Mass-based,"• Reporting year
• Geography of disposal (country/region)
• Mass of products sold at end-of-life (kg) by material/waste type
• Packaging mass (kg) by type
• Disposal pathway shares (% landfill/incineration/recycling/compost/etc.)",Not implemented,Average-data,"GHG Protocol Scope 3 Technical Guidance — Category 12.
Waste-treatment mix (Formula 12.1):
Emissions = ∑_treatment( mass_sold_waste (kg) × share_treatment × EF_treatment (kg CO2e/kg) )","User choices:
• Waste-type-specific vs average-data.

Edge cases:
• For products consumed (food/drink), end-of-life waste mass may be < mass sold.
• For products combusted for energy, disposal may be near zero but combustion belongs elsewhere.","• Regional consumer disposal behavior dataset
• Food/drink waste fraction (if applicable)
• Separate treatment shares for packaging vs product
• Whether to include/avoid recycling credits (define approach)
• Transport-to-waste-site inclusion flag (if EF includes it)","• Total kg CO2e (and tCO2e)
• Breakdown by waste type and treatment method
• EF IDs/sources + fallback flags
• Audit trace",
"S3 Cat 14 — Franchises (franchise-specific, S1+S2 emissions)",Scope 3,Cat 14 — Franchises,other,Other,"• Reporting year
• Franchise list (unique identifiers)
• For each franchise: scope 1 + scope 2 emissions OR energy consumption by fuel/electricity",Not implemented,Site-specific,"GHG Protocol Scope 3 Technical Guidance — Category 14.
Franchise-specific (Formula 14.1):
Emissions = ∑_franchise( Scope1_franchise + Scope2_franchise )
If not sub-metered: estimate energy from floor-space share × building energy (per guidance).","User choices:
• Franchise-specific vs average-data (floor space / per franchise type).

Sampling:
• If too many franchises to collect individually, use Appendix A sampling + extrapolation. Record sampling interval / strata and extrapolation formula.

Edge cases:
• If franchise emissions are already within organizational boundary Scopes 1–2 (depending on consolidation approach), exclude here to avoid double counting.","• Sampling plan (if many franchises) + extrapolation method
• Allocation basis if franchise serves multiple brands (revenue, floor area, throughput)
• Sub-metering flag; if none: floor-space allocation
• Include significant franchise upstream emissions (optional, if material)","• Total kg CO2e (and tCO2e)
• Breakdown by franchise / franchise group
• Sampling/extrapolation trace (if used)
• Audit log for allocations",
"S3 Cat 15 — Investments (equity, investment-specific)",Scope 3,Cat 15 — Investments,other,Other,"• Reporting year
• Investee scope 1 + scope 2 emissions (tCO2e)
• Investor equity share (%)
• Portfolio snapshot rule (e.g., year-end holdings or average holdings)",Not implemented,Site-specific,"GHG Protocol Scope 3 Technical Guidance — Category 15.
Investment-specific equity method (Formula 15.1):
Emissions = ∑( investee_scope1+2 × equity_share )","User choices:
• Prefer investment-specific when investee emissions available; else use average-data EEIO (separate process).

Edge cases:
• Avoid double counting with Scopes 1–2 if equity-share consolidation already used.","• Include investee scope 3 if significant (define threshold)
• Threshold for small holdings (e.g., exclude <1% if disclosed)
• Data provenance (investee inventory vs estimator)
• Currency/inflation handling (if using average-data EEIO elsewhere)","• Attributed tCO2e to investor
• Breakdown by investee
• Audit trace (equity share used, snapshot date)",
S3 Cat 13 — Downstream leased assets (asset-specific S1+S2),Scope 3,Cat 13 — Downstream leased assets,other,Other,"• Reporting year
• Leased asset inventory (owned by reporting company; leased to others)
• For each asset: lessee-provided fuel + electricity use OR lessee scope 1 + scope 2 emissions (allocated to the asset)
• Time fraction leased in year",Not implemented,Site-specific,"GHG Protocol Scope 3 Technical Guidance — Category 13 refers to Category 8 methods.
Asset-specific approach:
1) Compute/collect lessee scope 1 + scope 2 emissions for the leased asset (or allocate from aggregated lessee emissions)
2) Sum across assets: ∑(asset emissions × time_fraction)","Cat 13 is for lessors (reporting company owns the asset). If you choose to report leased products under Cat 11 instead, exclude from Cat 13 to avoid double counting.","• Allocation method where lessee reports aggregated emissions: floor area share / usage share / other physical basis
• Sub-metering flag
• Geography (grid region) for electricity factor if using activity data
• Sampling plan if many assets","• Total kg CO2e (and tCO2e)
• Breakdown by asset/building type
• Allocation + sampling trace
• Audit log (data source, assumptions)",
"S3 Cat 15 — Investments (equity, average-data EEIO)",Scope 3,Cat 15 — Investments,other,Other,"• Reporting year
• Investee sector classification(s)
• Investee revenue by sector ($)
• Investor equity share (%)
• EEIO EF for sector (kg CO2e/$)",Not implemented,Spend-based (EEIO),"GHG Protocol Scope 3 Technical Guidance — Category 15.
Average-data (Formula 15.2):
Emissions = ∑( (Revenue × EEIO_EF_sector) × equity_share )","Use when investee cannot provide scope 1+2. EEIO is coarse; good for screening + prioritization, not tracking investee performance over time.","• Geography-specific EEIO dataset (country/region)
• Inflation/exchange-rate normalization between EEIO year and reporting year
• Boundary choice: scope1+2 only vs full upstream (if disaggregation not possible, use full and disclose)
• Screening threshold to prioritize high-impact holdings","• Attributed tCO2e to investor
• Breakdown by investee + sector
• EEIO dataset reference + assumptions log",
S3 Cat 15 — Project finance / debt with known use (project-specific annual),Scope 3,Cat 15 — Investments,other,Other,"• Reporting year
• Project list (known use of proceeds)
• Project scope 1+2 emissions in reporting year (tCO2e)
• Investor share of total project costs (% of equity+debt)",Not implemented,Site-specific,"GHG Protocol Scope 3 Technical Guidance — Category 15.
Project-specific annual (Formula 15.3):
Emissions = ∑( project_scope1+2_in_year × share_of_total_project_costs )",Applies to project finance and corporate debt with known use of proceeds tied to a project.,"• Include project scope 3 if significant (define threshold)
• Data provenance (mandatory facility reporting, project operator inventory)
• Portfolio snapshot rule","• Attributed tCO2e to investor for reporting year
• Breakdown by project
• Audit log (share of total costs, data source)",
S3 Cat 15 — Project finance / debt with known use (average-data EEIO annual),Scope 3,Cat 15 — Investments,other,Other,"• Reporting year
• Project phase (construction vs operation)
• Construction cost (if construction) OR project revenue (if operation)
• EEIO EF for relevant sector (kg CO2e/$)
• Investor share of total project costs (%)",Not implemented,Spend-based (EEIO),"GHG Protocol Scope 3 Technical Guidance — Category 15.
Average-data annual (Formula 15.4):
Construction: ∑((construction_cost × EEIO_EF_construction) × share_total_costs)
Operation: ∑((revenue × EEIO_EF_operating_sector) × share_total_costs)",Use as last resort when project emissions not available. Not valid if project has no revenue during operation.,"• Geography-specific EEIO dataset
• Inflation/exchange-rate normalization
• Boundary choice (scope1+2 vs full upstream)
• Screening threshold","• Attributed tCO2e to investor for reporting year
• Breakdown by project
• Assumptions log",
"S3 Cat 15 — Project finance (projected lifetime emissions, initial year only)",Scope 3,Cat 15 — Investments,other,Other,"• Initial financing year
• Projected annual emissions (tCO2e/year)
• Projected lifetime (years; may be a range)
• Initial sponsor/lender share of total project costs (%)",Not implemented,Other,"GHG Protocol Scope 3 Technical Guidance — Category 15.
Projected lifetime (initial year only):
Lifetime emissions = (projected_annual_emissions × lifetime_years) × share_total_project_costs",Report only in the initial year the project is financed; do not repeat annually (avoids double counting).,"• Scenario ranges (min/typ/max capacity factor)
• Heat rate + fuel carbon content (for power plants)
• Disclosure note: do not amortize; avoid double counting with annual emissions","• Projected lifetime tCO2e attributed to investor (reported separately from scope 3 annual totals)
• Assumptions + scenario range log",
S3 Cat 1 — Purchased goods & services (spend-based EEIO),Scope 3,Cat 1 — Purchased goods & services,other,Other,"• Reporting year
• Spend by category ($)
• EEIO EF by category (kg CO2e/$)",Not implemented,Spend-based (EEIO),"Scope 3 Technical Guidance — Cat 1 spend-based:
Emissions = ∑(spend × EEIO EF)",Good for screening. Coarse; not suitable for tracking supplier improvements unless updated with supplier-specific methods.,"• Inflation/exchange-rate normalization between spend year and EEIO year
• Region-specific EEIO dataset
• Mapping table from GL codes to EEIO sectors","• kg CO2e by spend category
• Total Cat 1 emissions
• EEIO dataset reference + assumptions log",
S3 Cat 3A — Upstream emissions of purchased fuels,Scope 3,Cat 3 — Fuel- & energy-related (not in S1/S2),other,"Energy-based, Mass-based, Volume-based","• Reporting year
• Fuel types consumed in Scopes 1/2 (quantity + unit)
• Upstream fuel EF (kg CO2e/unit) OR life cycle EF and combustion EF to derive upstream EF",Not implemented,Average-data,"Scope 3 Technical Guidance — Cat 3A:
Upstream EF = life cycle EF − combustion EF
Emissions = ∑(fuel consumed × upstream EF)",Avoid double counting: combustion emissions are in Scope 1; this is upstream extraction/production/transport only.,"• Supplier-specific upstream EF
• Country/region of fuel production
• Whether EF includes T&D losses (for electricity-related parts)
• Conversion constants (NCV/density)","• kg CO2e (upstream only) by fuel type
• Total Cat 3A emissions
• Audit trace showing upstream EF derivation if used",
S3 Cat 2 — Capital goods (average-data per mass/unit),Scope 3,Cat 2 — Capital goods,other,"Mass-based, Other","• Reporting year
• Capital good type
• Quantity purchased (kg/unit)
• Average cradle-to-gate EF (kg CO2e/kg or per unit)",Not implemented,Average-data,"Scope 3 Technical Guidance — Cat 2 average-data:
Emissions = ∑(mass/units of capital goods × EF)",Report total cradle-to-gate emissions of capital goods purchased in the reporting year (not amortized).,"• Capitalization policy (what qualifies)
• Asset lifetime (for intensity metrics; reporting still in year of purchase)
• Supplier/region mix
• Boundary confirmation","• kg CO2e by capital good type
• Total Cat 2 emissions
• EF dataset references + audit trace",
S3 Cat 1 — Purchased goods & services (supplier-specific EF),Scope 3,Cat 1 — Purchased goods & services,other,"Mass-based, Other","• Reporting year
• Purchased good/service identifier (category/SKU)
• Quantity purchased (kg/unit)
• Supplier-specific product EF (kg CO2e/kg or per unit)",Not implemented,Supplier-specific,"Scope 3 Technical Guidance — Cat 1 supplier-specific:
Emissions = ∑(quantity purchased × supplier-specific EF)",Preferred method when reliable supplier product footprints exist. Ensure boundary alignment to avoid double counting with Cat 4 transport or other categories.,"• Supplier verification/assurance status
• Boundary of supplier EF (cradle-to-gate vs gate-to-gate)
• Allocation rules if EF covers multiple products
• Geography of production (if supplier provides region-specific EF)
• Data quality score","• kg CO2e and tCO2e by purchased item + supplier
• Total Cat 1 emissions
• EF provenance + audit trace",
S3 Cat 1 — Purchased goods & services (average-data EF per mass/unit),Scope 3,Cat 1 — Purchased goods & services,other,"Mass-based, Other","• Reporting year
• Purchased item type
• Quantity purchased (kg/unit)
• Average cradle-to-gate EF (kg CO2e/kg or per unit)",Not implemented,Average-data,"Scope 3 Technical Guidance — Cat 1 average-data:
Emissions = ∑(mass or units purchased × average EF)",Use when supplier-specific not available. Prefer material/product LCA databases over broad sector averages.,"• Supplier/region mix to choose better secondary EF
• Inflation year / EF dataset year
• Boundary confirmation (cradle-to-gate)
• Data quality tier","• kg CO2e by purchased item type
• Total Cat 1 emissions
• EF dataset reference + audit trace",
S3 Cat 3B — Upstream emissions of purchased electricity/steam/heat/cooling,Scope 3,Cat 3 — Fuel- & energy-related (not in S1/S2),purchased_electricity,Energy-based,"• Reporting year
• Electricity/steam/heat/cooling consumed (kWh) by country/grid
• Upstream EF for purchased energy (kg CO2e/kWh) OR life cycle EF minus generation EF minus T&D losses (as applicable)",Not implemented,Average-data,"Scope 3 Technical Guidance — Cat 3B:
Upstream EF = life cycle EF − generation EF − T&D losses (only if included in life cycle EF)
Emissions = ∑(energy consumed × upstream EF)",Treat as separate from Scope 2 (generation emissions) to avoid double counting.,"• Supplier-specific upstream factors
• T&D loss rate (%) by grid
• Confirm whether life cycle EF already includes T&D losses
• Market-based vs location-based context (if used elsewhere)","• kg CO2e upstream by energy type + grid
• Total Cat 3B emissions
• Audit trace (EF selection + T&D handling)",
S3 Cat 3C — Transmission & distribution (T&D) losses,Scope 3,Cat 3 — Fuel- & energy-related (not in S1/S2),purchased_electricity,Energy-based,"• Reporting year
• Electricity/steam/heat/cooling consumed (kWh)
• Life cycle EF for energy (kg CO2e/kWh)
• T&D loss rate (%)",Not implemented,Average-data,"Scope 3 Technical Guidance — Cat 3C:
Emissions = ∑(energy consumed × life cycle EF × T&D loss rate)",Subtract losses only where required by boundary setup; disclose assumptions.,"• Utility-specific loss rate
• Country vs regional vs global loss rate fallback ladder
• Confirm whether life cycle EF includes upstream components","• kg CO2e attributable to T&D losses by grid
• Total Cat 3C emissions
• Audit trace",
S3 Cat 4 — Upstream transport (distance-based tonne-km),Scope 3,Cat 4 — Upstream transport & distribution,other,"Distance-based, Mass-based","• Reporting year
• Mass of purchased goods transported (tonnes)
• Distance by leg (km)
• Mode/vehicle class per leg
• Geography for EF selection",Not implemented,Distance-based,"Scope 3 Technical Guidance — Cat 4 distance-based:
Emissions = ∑(mass × distance × EF_mode (kg CO2e/tonne-km))",Cat 4 includes transport services purchased by reporting company (upstream).,"• Refrigerated transport
• Chargeable/dimensional mass
• Backhaul assumption
• Supplier-provided distances vs estimated distances","• kg CO2e by leg/mode
• Total Cat 4 transport emissions
• EF IDs/sources + audit trace",
S3 Cat 4 — Upstream distribution/storage (average-data),Scope 3,Cat 4 — Upstream transport & distribution,other,Other,"• Reporting year
• Volume of goods stored (m³ / pallet / TEU)
• Average days stored (days)
• Storage EF (kg CO2e per m³-day / pallet-day / TEU-day)",Not implemented,Average-data,"Scope 3 Technical Guidance — Cat 4 distribution average-data:
Emissions = ∑(volume stored × days stored × EF_storage)",Prefer site-specific facility energy data when available (separate process can be added later).,"• Facility type (warehouse, cold storage)
• Geography (grid region)
• Temperature control flag
• Throughput-based estimation method","• kg CO2e by storage facility type
• Total Cat 4 distribution emissions
• EF reference + audit trace",
S3 Cat 4 — Upstream transport (spend-based EEIO),Scope 3,Cat 4 — Upstream transport & distribution,other,Other,"• Reporting year
• Spend on transportation services by type ($)
• EEIO EF for transportation type (kg CO2e/$)",Not implemented,Spend-based (EEIO),"Scope 3 Technical Guidance — Cat 4 spend-based:
Emissions = ∑(spend × EEIO EF_transport)",Last-resort method; cannot distinguish vehicle efficiencies or routes.,"• Inflation/exchange-rate normalization
• Map logistics GL codes to transport modes
• Region-specific EEIO dataset","• kg CO2e by spend category
• Total Cat 4 transport emissions
• Assumptions log",
S3 Cat 2 — Capital goods (spend-based EEIO),Scope 3,Cat 2 — Capital goods,other,Other,"• Reporting year
• Spend on capital goods by category ($)
• EEIO EF by category (kg CO2e/$)",Not implemented,Spend-based (EEIO),"Scope 3 Technical Guidance — Cat 2 spend-based:
Emissions = ∑(spend × EEIO EF)",Use for screening when quantity data absent. Coarse method.,"• Inflation/exchange-rate normalization
• Region-specific EEIO dataset
• GL→EEIO sector mapping
• Capitalization policy","• kg CO2e by spend category
• Total Cat 2 emissions
• EEIO dataset reference + assumptions log",
S3 Cat 4 — Upstream transport (fuel-based),Scope 3,Cat 4 — Upstream transport & distribution,other,"Energy-based, Other, Volume-based","• Reporting year
• Fuel consumed by transport service (litres by fuel type) and/or electricity consumed (kWh)
• (If allocating) mass/volume share of reporting company goods in the vehicle",Not implemented,Fuel-based,"Scope 3 Technical Guidance — Cat 4 fuel-based:
Emissions = ∑(fuel litres × EF_fuel) + ∑(electricity kWh × EF_grid) + ∑(refrigerant leak × GWP)
Allocated emissions = total transport emissions × (company goods mass/total mass) (or volume-based)",Use when fuel/electricity data from logistics providers is available. If only spend exists use spend-based method.,"• Refrigerant leakage for refrigerated transport
• Fuel efficiency + distance to infer fuel when fuel not available
• Backhaul/unladen assumption
• Allocation method: mass/volume/chargeable mass","• kg CO2e by fuel/electricity
• Allocated kg CO2e to reporting company
• Audit trace (allocation + EF selection)",
S3 Cat 2 — Capital goods (supplier-specific EF),Scope 3,Cat 2 — Capital goods,other,"Mass-based, Other","• Reporting year
• Capital good identifier
• Quantity purchased (kg/unit)
• Supplier-specific product EF (kg CO2e/kg or per unit)",Not implemented,Supplier-specific,"Scope 3 Technical Guidance — Cat 2 supplier-specific:
Emissions = ∑(quantity × supplier-specific EF)",Preferred where suppliers provide verified product footprints for capital goods. Report in year of acquisition (not amortized).,"• Supplier verification status
• Boundary of EF (cradle-to-gate)
• Allocation rules if EF covers multiple assets
• Geography of production
• Data quality score","• kg CO2e by capital good
• Total Cat 2 emissions
• EF provenance + audit trace",
S3 Cat 4 — Upstream distribution/storage (site-specific facility energy + allocation),Scope 3,Cat 4 — Upstream transport & distribution,purchased_electricity,"Energy-based, Other","• Reporting year
• For each storage facility: electricity (kWh) + fuels (by type/unit) + (if applicable) refrigerant leakage (kg)
• Allocation basis: volume of reporting company goods stored (m³) and total facility stored volume (m³) OR alternative allocation basis",Not implemented,Site-specific,"Scope 3 Technical Guidance — Cat 4 distribution site-specific:
Facility emissions = (fuel kWh × EF_fuel) + (electricity kWh × EF_elec) + (refrigerant leak × GWP)
Allocated facility emissions = (company volume / total volume) × facility emissions
Total = ∑ allocated facility emissions",Use when facility energy data available; otherwise use average-data storage EFs.,"• Occupancy rate / average throughput
• Facility type (ambient vs cold storage)
• Grid region for electricity EF
• Allocation choice: volume share vs pallet share vs area share
• Include/exclude inbound/outbound handling energy (define boundary)","• kg CO2e per facility (allocated)
• Total Cat 4 distribution emissions
• Audit trace (allocation + EFs)",
